number,filename,tempo,scale,chromagram,zero_crossing_rate,spectral_rolloff,spectral_centroid,spectral_bandwidth,rmse,danceability,percentile_10,percentile_90,dynamic_comp
62,supercollider/SC_200331_204205.aiff,86.1328125,1.0,0.516120924935232,0.0166169234732864,1597.0224362721617,936.3574702539729,1207.3438272385215,0.08468826739839978,1.6938742495097157,80.44089815693232,115.25437648782273,2.518425436176009
63,supercollider/SC_200331_204436.aiff,107.666015625,0.0,0.5975486093822288,0.017800544090625422,2097.5300294635617,1096.706293868789,1346.7784998472273,0.10185193575828401,1.5703326557929995,110.82472865338386,122.29096767749077,1.9905771644340229
64,supercollider/SC_200331_204657.aiff,129.19921875,1.0,0.4684191207654192,0.028436713442504757,2837.1103111689326,1445.1674298114262,1651.4665221736707,0.10959023982529133,1.2085144365389737,75.05786738080658,153.03735516981828,1.9666525451134942
65,supercollider/SC_200331_204936.aiff,150.732421875,0.0,0.6505778768405188,0.025894369549256342,3845.441472863346,1876.9256761881113,2255.872061215842,0.14299986247588287,2.0367444479630006,167.58823412420892,196.96286955985602,2.1076462156070197
66,supercollider/SC_200331_205138.aiff,172.265625,1.0,0.39155834932995137,0.05781794422753311,9354.834302724965,3634.1583923064936,4143.811421790014,0.17027144197301264,1.4074283544603814,184.4808757473344,226.98168640662487,1.1210906264487486
67,supercollider/SC_200331_205400.aiff,172.265625,0.0,0.6342087629976085,0.02842941073336814,2671.171343556518,1247.6314976999897,1234.5942581763152,0.13015029743552248,1.1156292869434585,57.50948261002051,201.51933092928226,2.637975740588274
68,supercollider/SC_200331_205924.aiff,107.666015625,1.0,0.39509463468698447,0.0276200581292929,2527.5186722293092,1283.1596471128462,1369.5742064783972,0.07904975314397644,1.54289368477013,84.6739119903556,80.41279875595154,2.35629801916098
69,supercollider/SC_200331_211712.aiff,129.19921875,0.0,0.4000862424400572,0.06460760260926064,5347.438128504684,2840.4361710912385,2670.97632782027,0.10516394314045904,1.7030632132116963,61.504972213372916,147.86075762547893,4.426829665013188
70,supercollider/SC_200331_211918.aiff,150.732421875,1.0,0.49304058172540977,0.032739219021152725,3109.9051876082913,1504.2628510451825,1652.2118787444722,0.09092134224156799,1.3878423180948625,89.22655543404849,103.03563271147371,1.9708689316406929
71,supercollider/SC_200331_212150.aiff,172.265625,0.0,0.45313377301041025,0.040825039562942485,3598.243113789856,1707.8746094172302,1649.082608937022,0.07411273326916754,1.3852642190046724,39.487503353424266,101.85546722231244,2.927017858025821
72,supercollider/SC_200331_212414.aiff,86.1328125,1.0,0.2795295308528312,0.0448531382207182,4659.377062459867,2216.8300722815943,2183.162803888981,0.04911330081902932,1.8680968745112276,74.28677439601785,40.8166137305383,2.4854063425705215
73,supercollider/SC_200331_212708.aiff,107.666015625,0.0,0.4114646255719995,0.06053488865091889,4155.364693793537,2457.2512757398335,2340.6855004721174,0.027460580230852388,1.3043392575656847,7.137993149331204,36.09147011142213,5.70095231875127
74,supercollider/SC_200401_130454.aiff,129.19921875,1.0,0.4246852098495967,0.06636641597718423,5469.240547154412,2881.917576000065,2834.9399972078263,0.03484956361789001,1.9330386177828336,29.61233416107175,47.78925318872383,4.966370435084795
75,supercollider/SC_200401_130907.aiff,150.732421875,0.0,0.4770977103454044,0.12662160394762892,7929.343514313436,4779.9996303371545,4308.12511827266,0.0360507066798115,1.0606080291232323,3.1314463173775478,53.99705280498918,8.673779307644267
